start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF,date
16:58.4,17:58.2,3,Handroanthus crysanthus,H10,10,12,9,2024,3,3,1,1,0,4,0,0,0,2024-09-12
10:52.8,12:09.1,3,Handroanthus crysanthus,H14,14,10,9,2024,2,2,1,1,1,2,3,0,0,2024-09-10
25:10.4,26:01.1,3,Handroanthus crysanthus,H07,7,10,9,2024,4,3,1,1,0,2,1,0,0,2024-09-10
22:12.4,23:05.0,3,Handroanthus crysanthus,H05,5,10,9,2024,3,2,0,1,0,5,3,0,0,2024-09-10
20:19.2,21:58.6,3,Handroanthus crysanthus,H12,12,10,9,2024,4,3,0,3,0,3,3,0,0,2024-09-10
18:38.3,20:02.0,3,Handroanthus crysanthus,H13,13,10,9,2024,2,2,1,1,0,2,2,0,0,2024-09-10
17:03.7,18:27.0,3,Handroanthus crysanthus,H04,4,10,9,2024,5,4,0,1,0,3,3,0,0,2024-09-10
08:28.1,09:29.1,3,Handroanthus crysanthus,H01,1,5,9,2024,5,4,1,3,0,4,4,3,0,2024-09-05
04:53.0,06:06.8,3,Handroanthus crysanthus,H11,11,3,9,2024,4,2,0,0,0,5,4,0,0,2024-09-03
01:58.0,04:30.4,3,Handroanthus crysanthus,H02,2,3,9,2024,1,0,0,0,0,4,3,0,0,2024-09-03
13:44.7,14:32.1,3,Handroanthus crysanthus,H01,1,19,11,2024,4,4,5,2,0,0,0,0,0,2024-11-19
14:47.8,17:28.6,3,Handroanthus crysanthus,H12,12,19,11,2024,3,3,4,2,0,1,1,0,0,2024-11-19
18:11.0,19:32.6,3,Handroanthus crysanthus,H13,13,19,11,2024,1,2,2,2,0,0,0,0,0,2024-11-19
20:13.9,21:48.0,3,Handroanthus crysanthus,H05,5,19,11,2024,3,4,4,2,0,0,0,0,0,2024-11-19
22:00.6,23:02.5,3,Handroanthus crysanthus,H04,4,19,11,2024,3,3,3,4,0,0,0,0,0,2024-11-19
23:54.5,24:44.0,3,Handroanthus crysanthus,H06,6,19,11,2024,2,3,4,3,0,0,0,0,0,2024-11-19
29:53.1,32:49.8,3,Handroanthus crysanthus,H02,2,21,11,2024,4,4,3,2,0,1,1,0,0,2024-11-21
32:59.4,33:39.6,3,Handroanthus crysanthus,H11,11,21,11,2024,3,4,4,3,0,0,0,0,0,2024-11-21
33:49.0,35:23.1,3,Handroanthus crysanthus,H10,10,21,11,2024,3,4,4,3,0,0,0,0,0,2024-11-21
02:50.2,04:49.9,3,Handroanthus crysanthus,H14,14,14,11,2024,0,3,3,2,0,1,1,0,0,2024-11-14
05:31.9,07:08.8,3,Handroanthus crysanthus,H07,7,14,11,2024,2,3,3,3,0,0,0,0,0,2024-11-14
