start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF
55:13.0,57:01.6,3,Handroanthus crysanthus,H11,11,27,2,2023,0,0,6,0,3,0,0,0,0
58:21.7,59:35.9,3,Handroanthus crysanthus,H14,14,27,2,2023,0,0,5,0,2,0,0,0,0
43:29.4,44:38.1,3,Handroanthus crysanthus,H14,14,13,3,2023,3,0,4,0,0,0,0,0,0
44:40.3,46:02.0,3,Handroanthus crysanthus,H07,7,13,3,2023,0,0,5,0,2,0,0,0,0
48:12.7,49:48.2,3,Handroanthus crysanthus,H11,11,14,3,2023,0,0,5,0,4,0,0,0,0
52:17.6,53:30.4,3,Handroanthus crysanthus,H01,1,15,3,2023,0,0,5,0,3,0,0,0,0
53:32.4,54:44.6,3,Handroanthus crysanthus,H12,12,15,3,2023,0,0,5,0,2,0,0,0,0
54:47.0,55:56.9,3,Handroanthus crysanthus,H02,2,15,3,2023,0,0,5,0,1,0,0,0,0
56:03.8,57:16.5,3,Handroanthus crysanthus,H13,13,15,3,2023,0,0,4,0,4,0,0,0,0
57:18.7,58:58.1,3,Handroanthus crysanthus,H04,4,15,3,2023,0,0,5,0,3,0,0,0,0
59:03.7,00:15.5,3,Handroanthus crysanthus,H05,5,15,3,2023,0,0,5,0,3,0,0,0,0
00:29.4,02:38.6,3,Handroanthus crysanthus,H06,6,18,3,2023,0,0,5,0,2,0,0,0,0
04:26.7,05:53.7,3,Handroanthus crysanthus,H10,10,18,3,2023,0,0,4,0,3,0,0,0,0
17:56.1,20:43.5,3,Handroanthus crysanthus,H07,7,2,11,2022,3,3,2,4,0,0,0,1,0
20:46.8,21:37.8,3,Handroanthus crysanthus,H04,4,2,11,2022,4,4,2,3,0,0,0,5,0
21:45.6,22:35.3,3,Handroanthus crysanthus,H02,2,2,11,2022,3,4,2,3,0,1,3,4,0
26:06.6,26:59.3,3,Handroanthus crysanthus,H12,12,3,11,2022,3,4,2,4,0,0,0,4,0
27:03.4,27:58.1,3,Handroanthus crysanthus,H13,13,3,11,2022,5,3,0,2,0,0,0,3,0
28:03.5,30:41.8,3,Handroanthus crysanthus,H11,11,5,11,2022,3,4,3,2,0,0,3,4,0
31:57.3,33:08.7,3,Handroanthus crysanthus,H06,6,5,11,2022,3,4,3,2,0,0,0,4,0
33:12.1,34:05.1,3,Handroanthus crysanthus,H10,10,5,11,2022,3,3,2,2,0,0,0,3,0
34:14.6,35:24.8,3,Handroanthus crysanthus,H14,14,5,11,2022,3,3,3,3,0,0,1,3,0
02:01.4,03:26.4,3,Handroanthus crysanthus,H05,5,16,11,2022,3,4,3,2,0,0,0,5,4
03:30.1,04:20.5,3,Handroanthus crysanthus,H04,4,16,11,2022,3,3,4,2,0,0,0,5,4
04:22.9,06:34.4,3,Handroanthus crysanthus,H01,1,16,11,2022,3,3,4,2,0,1,3,3,1
06:39.4,09:05.5,3,Handroanthus crysanthus,H06,6,20,11,2022,3,3,4,3,0,0,0,5,3
11:08.5,11:54.9,3,Handroanthus crysanthus,H10,10,20,11,2022,4,4,3,3,0,0,0,3,0
16:12.6,17:36.5,3,Handroanthus crysanthus,H07,7,23,11,2022,3,3,3,3,0,0,0,1,0
17:40.1,18:35.7,3,Handroanthus crysanthus,H14,14,23,11,2022,3,3,3,2,0,0,0,3,0
18:38.0,19:20.9,3,Handroanthus crysanthus,H12,12,23,11,2022,3,3,3,2,0,0,0,4,1
19:24.0,20:16.2,3,Handroanthus crysanthus,H13,13,23,11,2022,4,4,0,3,0,0,0,3,0
20:19.5,21:30.8,3,Handroanthus crysanthus,H02,2,23,11,2022,3,4,3,2,0,0,0,4,1
21:34.6,22:21.1,3,Handroanthus crysanthus,H11,11,23,11,2022,3,3,4,2,0,0,0,4,0
50:53.0,52:03.8,3,Handroanthus crysanthus,H04,4,21,1,2023,3,0,4,0,1,0,0,0,0
53:53.6,54:42.3,3,Handroanthus crysanthus,H13,13,21,1,2023,3,3,3,1,2,0,0,0,2
54:44.6,55:32.4,3,Handroanthus crysanthus,H12,12,21,1,2023,3,1,4,0,2,0,0,0,3
55:35.6,56:14.9,3,Handroanthus crysanthus,H05,5,21,1,2023,4,3,4,1,3,1,0,0,3
56:22.6,57:13.4,3,Handroanthus crysanthus,H10,10,22,1,2023,0,0,5,1,2,0,0,1,3
57:56.6,58:55.2,3,Handroanthus crysanthus,H06,6,22,1,2023,0,0,5,0,1,0,0,0,0
58:57.2,59:59.1,3,Handroanthus crysanthus,H07,7,22,1,2023,0,0,5,0,2,0,0,0,0
00:01.9,00:47.6,3,Handroanthus crysanthus,H14,14,22,1,2023,0,0,5,0,2,0,0,0,0
01:46.9,03:08.9,3,Handroanthus crysanthus,H02,2,23,1,2023,3,0,5,0,2,0,0,0,2
03:11.3,04:02.0,3,Handroanthus crysanthus,H11,11,23,1,2023,3,0,5,0,3,0,0,0,2
52:06.2,53:48.3,3,Handroanthus crysanthus,H01,1,21,1,2023,3,0,4,0,2,0,0,4,3
